"from: ","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","on: ","2018-10-10","using: wikitableScrape.py"
"Rank","Country(or dependent territory)","Population","Date","% of worldpopulation","Source"
"1","China","1,394,530,000","October 10, 2018","18.2%","Official population clock"
"2","India","1,338,050,000","October 10, 2018","17.5%","Official population clock"
"3","United States","327,975,000","October 10, 2018","4.28%","Official population clock"
"4","Indonesia","265,015,300","July 1, 2018","3.46%","Official annual projection"
"5","Brazil","209,694,000","October 10, 2018","2.74%","Official population clock"
"6","Pakistan","202,279,000","October 10, 2018","2.64%","Official population clock"
"7","Nigeria","193,392,517","July 1, 2016","2.53%","Official estimate"
"8","Bangladesh","165,334,000","October 10, 2018","2.16%","Official population clock"
"9","Russia","146,877,088","January 1, 2018","1.92%","Official estimate"
"10","Japan","126,420,000","September 1, 2018","1.65%","Monthly provisional estimate"
"11","Mexico","124,737,789","July 1, 2018","1.63%","Official annual projection"
"12","Ethiopia","107,534,882","July 1, 2018","1.4%","UN Projection"
"13","Philippines","106,588,000","October 10, 2018","1.39%","Official population clock"
"14","Egypt","97,702,500","October 10, 2018","1.28%","Official population clock"
"15","Vietnam","94,660,000","July 1, 2018","1.24%","Official annual estimate"
"16","DR Congo","84,004,989","July 1, 2018","1.1%","UN Projection"
"17","Germany","82,792,400","December 31, 2017","1.08%","Official annual data"
"18","Iran","81,857,800","October 10, 2018","1.07%","Official population clock"
"19","Turkey","80,810,525","December 31, 2017","1.06%","Official estimate"
"20","Thailand","69,183,173","July 1, 2018","0.9%","UN Projection"
"21","France","67,323,000","September 1, 2018","0.88%","Monthly official estimate"
"22","United Kingdom","66,040,229","June 30, 2017","0.86%","Official annual estimate"
"23","Italy","60,421,460","April 30, 2018","0.79%","Monthly official estimate"
"24","South Africa","57,725,600","July 1, 2018","0.75%","Official annual estimate"
"25","Tanzania","54,199,163","July 1, 2018","0.71%","Official annual projection"
"26","Myanmar","53,862,731","July 1, 2018","0.7%","Official annual projection"
"27","South Korea","51,635,256","July 1, 2018","0.67%","Official annual estimate"
"28","Kenya","50,950,879","July 1, 2018","0.67%","UN projection"
"29","Colombia","49,984,900","October 10, 2018","0.653%","Official population clock"
"30","Spain","46,659,302","January 1, 2018","0.61%","Official estimate"
"31","Argentina","44,494,502","July 1, 2018","0.58%","Official annual projection"
"32","Algeria","42,545,964","July 1, 2018","0.56%","Official annual projection"
